GPCD,Tem,Pre,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,Year,Byear,Month,Q1,Q2,Q3
161.9459258,26.83333,0.33867,0,0,0,1,0,0,0,0,0,0,0,0,1995,2004,4,1,0,0
190.2443497,31.00358,0.08194,0,0,0,0,1,0,0,0,0,0,0,0,1995,2004,5,1,0,0
223.2152425,37.11111,0,0,0,0,0,0,1,0,0,0,0,0,0,1995,2004,6,0,1,0
235.0428197,39.98208,0.04097,0,0,0,0,0,0,1,0,0,0,0,0,1995,2004,7,0,1,0
201.7019766,38.35125,3.08897,0,0,0,0,0,0,0,1,0,0,0,0,1995,2004,8,0,1,0
199.8461315,35.94444,1.43933,0,0,0,0,0,0,0,0,1,0,0,0,1995,2004,9,0,0,1
174.8620194,32.75986,0.09832,0,0,0,0,0,0,0,0,0,1,0,0,1995,2004,10,0,0,1
147.6300873,26.5,0.59267,0,0,0,0,0,0,0,0,0,0,1,0,1995,2004,11,0,0,1
136.4473909,20.73477,0.09832,0,0,0,0,0,0,0,0,0,0,0,1,1995,2004,12,0,0,0
139.8676257,21.50538,0.05735,1,0,0,0,0,0,0,0,0,0,0,0,1996,2004,1,0,0,0
137.8594289,24.16667,0.78014,0,1,0,0,0,0,0,0,0,0,0,0,1996,2004,2,0,0,0
149.1143301,24.28315,0.36052,0,0,1,0,0,0,0,0,0,0,0,0,1996,2004,3,1,0,0
181.1582232,30.2963,0,0,0,0,1,0,0,0,0,0,0,0,0,1996,2004,4,1,0,0
220.0429753,36.29032,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,2004,5,1,0,0
239.2543672,39.94444,0.08467,0,0,0,0,0,1,0,0,0,0,0,0,1996,2004,6,0,1,0
219.0335519,39.01434,1.00781,0,0,0,0,0,0,1,0,0,0,0,0,1996,2004,7,0,1,0
207.7556643,37.25806,2.29419,0,0,0,0,0,0,0,1,0,0,0,0,1996,2004,8,0,1,0
169.2177203,32.37037,3.74227,0,0,0,0,0,0,0,0,1,0,0,0,1996,2004,9,0,0,1
167.0859645,29.30108,1.016,0,0,0,0,0,0,0,0,0,1,0,0,1996,2004,10,0,0,1
146.3228367,24.24074,0.2032,0,0,0,0,0,0,0,0,0,0,1,0,1996,2004,11,0,0,1
136.3520848,21.07527,0,0,0,0,0,0,0,0,0,0,0,0,1,1996,2004,12,0,0,0
126.3365821,17.56272,0.70465,1,0,0,0,0,0,0,0,0,0,0,0,1997,2004,1,0,0,0
138.2593706,20.55556,0.52614,0,1,0,0,0,0,0,0,0,0,0,0,1997,2004,2,0,0,0
153.2211714,28.18996,0.09832,0,0,1,0,0,0,0,0,0,0,0,0,1997,2004,3,1,0,0
166.6366907,27.2963,0.381,0,0,0,1,0,0,0,0,0,0,0,0,1997,2004,4,1,0,0
205.6048029,36.41577,0.22942,0,0,0,0,1,0,0,0,0,0,0,0,1997,2004,5,1,0,0
229.2828842,39.31481,0.0762,0,0,0,0,0,1,0,0,0,0,0,0,1997,2004,6,0,1,0
232.6485056,40.53763,0.3769,0,0,0,0,0,0,1,0,0,0,0,0,1997,2004,7,0,1,0
195.8632015,39.01434,1.36832,0,0,0,0,0,0,0,1,0,0,0,0,1997,2004,8,0,1,0
188.7493657,36.7963,1.12607,0,0,0,0,0,0,0,0,1,0,0,0,1997,2004,9,0,0,1
176.4527782,30.5914,0.17206,0,0,0,0,0,0,0,0,0,1,0,0,1997,2004,10,0,0,1
150.1726357,23.88889,0.49953,0,0,0,0,0,0,0,0,0,0,1,0,1997,2004,11,0,0,1
121.2740474,16.11111,2.39252,0,0,0,0,0,0,0,0,0,0,0,1,1997,2004,12,0,0,0
130.0050072,19.11111,0.20484,1,0,0,0,0,0,0,0,0,0,0,0,1998,2004,1,0,0,0
117.9573536,15.83333,3.33703,0,1,0,0,0,0,0,0,0,0,0,0,1998,2004,2,0,0,0
131.8705447,20.97701,1.32735,0,0,1,0,0,0,0,0,0,0,0,0,1998,2004,3,1,0,0
